kl,wkl
4, -0.667522
5, -0.819952
6, 0.009094
7, 0.550068
8, 0.400550
9, -0.431586
1, -0.234912
2, -0.201011
3, -0.293955
4, -0.676006
5, -0.810338
6, 0.002942
7, 0.534233
8, 0.418496
9, -0.443069
1, -0.243337
2, -0.208078
3, -0.275256
4, -0.690445
5, -0.822449
6, 0.034987
7, 0.532066
8, 0.416678
9, -0.438261
1, -0.220509
2, -0.218621
3, -0.289924
4, -0.663788
5, -0.834760
6, 0.017859
7, 0.542841
8, 0.411702
9, -0.445185
1, -0.238610
2, -0.196604
3, -0.303677
4, -0.673546
5, -0.822892
6, 0.010445
7, 0.528466
8, 0.429186
9, -0.456106
1, -0.247056
2, -0.203631
3, -0.285046
4, -0.687924
5, -0.834855
6, 0.042164
7, 0.526344
8, 0.427421
9, -0.451425
1, -0.224135
2, -0.215382
3, -0.299393
4, -0.663302
5, -0.847478
6, 0.026751
7, 0.540617
8, 0.420104
9, -0.460359
1, -0.243173
2, -0.193976
3, -0.312828
4, -0.671617
5, -0.838129
6, 0.020884
7, 0.524545
8, 0.438175
9, -0.471701
1, -0.251490
2, -0.200644
3, -0.293886
4, -0.686418
5, -0.849995
6, 0.054590
7, 0.521943
8, 0.436089
9, -0.465775
1, -0.229076
2, -0.209322
3, -0.308355
4, -0.655205
5, -0.862080
6, 0.034441
7, 0.530351
8, 0.432834
9, -0.471203
1, -0.246684
2, -0.187236
3, -0.321926
4, -0.665217
5, -0.849521
6, 0.026724
7, 0.516858
8, 0.449758
9, -0.481602
1, -0.254523
2, -0.193356
3, -0.303470
4, -0.679796
5, -0.860903
6, 0.061049
7, 0.514868
8, 0.448204
9, -0.476917
1, -0.232375
2, -0.205396
3, -0.317807
4, -0.658749
5, -0.872344
6, 0.047424
7, 0.526240
8, 0.442023
9, -0.484278
1, -0.250634
2, -0.183537
3, -0.331104
4, -0.668225
5, -0.860999
6, 0.040522
7, 0.511285
8, 0.459926
9, -0.495169
1, -0.258633
2, -0.189804
3, -0.312546
4, -0.682787
5, -0.872408
6, 0.074306
7, 0.509075
8, 0.458195
9, -0.490041
1, -0.235701
2, -0.201017
3, -0.326851
4, -0.657385
5, -0.884828
6, 0.058461
7, 0.522199
8, 0.451778
9, -0.498228
1, -0.253753
2, -0.179084
3, -0.340011
4, -0.667182
5, -0.872926
6, 0.051319
7, 0.507391
8, 0.469769
9, -0.509023
1, -0.262034
2, -0.185692
3, -0.321717
4, -0.681406
5, -0.884277
6, 0.082741
7, 0.505413
8, 0.468190
9, -0.504653
1, -0.239438
2, -0.200090
3, -0.335621
4, -0.663501
5, -0.895685
6, 0.071724
7, 0.521334
8, 0.458045
9, -0.514450
1, -0.257109
2, -0.178028
3, -0.348714
4, -0.673584
5, -0.883097
6, 0.064253
7, 0.507137
8, 0.475770
9, -0.524968
1, -0.265309
2, -0.184505
3, -0.330239
4, -0.687848
5, -0.894364
6, 0.096392
7, 0.504935
8, 0.474031
9, -0.520007
1, -0.243248
2, -0.195605
3, -0.344397
4, -0.664825
5, -0.905947
6, 0.081617
7, 0.515616
8, 0.468656
9, -0.526862
1, -0.261585
2, -0.174192
3, -0.357444
4, -0.672965
5, -0.896442
6, 0.075825
7, 0.501345
8, 0.485321
9, -0.537017
1, -0.269497
2, -0.180234
3, -0.338989
4, -0.687381
5, -0.907451
6, 0.109454
7, 0.499018
8, 0.483545
9, -0.531590
1, -0.246895
2, -0.194555
3, -0.352734
4, -0.669461
5, -0.918806
6, 0.098556
7, 0.514884
8, 0.473491
9, -0.541238
1, -0.265248
2, -0.173141
3, -0.365628
4, -0.677611
5, -0.909296
6, 0.092830
7, 0.500408
8, 0.490382
9, -0.551409
1, -0.273013
2, -0.179026
3, -0.347480
4, -0.691755
5, -0.920014
6, 0.125882
7, 0.498326
8, 0.488804
9, -0.546542
1, -0.250225
2, -0.190772
3, -0.361570
4, -0.668569
5, -0.931965
6, 0.111547
7, 0.511688
8, 0.481916
9, -0.554804
1, -0.267606
2, -0.168847
3, -0.374499
4, -0.678116
5, -0.919922
6, 0.104445
7, 0.498420
8, 0.498654
9, -0.564674
1, -0.275007
2, -0.174282
3, -0.356647
4, -0.692137
5, -0.930220
6, 0.138265
7, 0.496583
8, 0.497305
9, -0.560243
1, -0.252448
2, -0.187759
3, -0.370562
4, -0.673543
5, -0.941328
6, 0.126795
7, 0.510379
8, 0.489063
9, -0.568754
1, -0.269636
2, -0.165856
3, -0.383413
4, -0.683150
5, -0.929085
6, 0.119612
7, 0.497371
8, 0.505639
9, -0.578479
1, -0.277177
2, -0.171482
3, -0.365611
4, -0.697036
5, -0.939444
6, 0.152395
7, 0.495501
8, 0.504244
9, -0.574062
1, -0.254544
2, -0.185854
3, -0.379192
4, -0.679508
5, -0.950576
6, 0.141876
7, 0.511057
8, 0.494364
9, -0.583397
1, -0.272447
2, -0.164060
3, -0.391647
4, -0.688865
5, -0.939185
6, 0.135366
7, 0.496352
8, 0.512266
9, -0.593628
1, -0.280229
2, -0.169968
3, -0.373708
4, -0.702686
5, -0.949678
6, 0.167225
7, 0.494261
8, 0.510678
9, -0.588806
1, -0.257320
2, -0.180039
3, -0.387852
4, -0.675010
5, -0.961843
6, 0.150139
7, 0.507049
8, 0.505056
9, -0.596702
1, -0.275250
2, -0.158469
3, -0.400334
4, -0.683627
5, -0.951477
6, 0.144139
7, 0.493064
8, 0.521881
9, -0.606438
1, -0.282530
2, -0.163668
3, -0.382715
4, -0.697490
5, -0.961377
6, 0.177691
7, 0.491190
8, 0.520543
9, -0.601904
1, -0.260029
2, -0.175628
3, -0.396594
4, -0.675739
5, -0.972939
6, 0.164274
7, 0.504050
8, 0.513707
9, -0.609836
1, -0.277956
2, -0.154027
3, -0.408795
4, -0.684818
5, -0.961999
6, 0.158095
7, 0.489370
8, 0.531397
9, -0.619828
1, -0.285426
2, -0.159455
3, -0.391286
4, -0.698581
5, -0.972001
6, 0.190357
7, 0.487500
8, 0.530038
9, -0.615444
1, -0.262264
2, -0.171245
3, -0.405116
4, -0.674607
5, -0.984205
6, 0.176042
7, 0.502164
8, 0.522573
9, -0.624200
1, -0.280922
2, -0.150119
3, -0.416855
4, -0.682938
5, -0.974772
6, 0.170800
7, 0.485981
8, 0.540897
9, -0.634383
1, -0.288259
2, -0.155300
3, -0.399479
4, -0.696699
5, -0.984489
6, 0.203394
7, 0.484155
8, 0.539607
9, -0.630058
1, -0.266183
2, -0.162843
